id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
6,Kunyit kuning/Kunir kuning,7000,500,gram,fitri sayur,https://www.tokopedia.com/fitrisayur/kunyit-kuning-kunir-kuning
6,kunyit 1 kg,19500,1,kg,Amanta Segar,https://www.tokopedia.com/amantasegar/kunyit-1-kg
6,Kunyit - Kunyit 250 Gram - Kunyit Segar - Kunir (Harga Murah),2500,250,gram,daput_hijau,https://shopee.co.id/Kunyit-Kunyit-250-Gram-Kunyit-Segar-Kunir-(Harga-Murah)-i.389263211.8935612884
6,KUNIR / KUNYIT 75GRAM,2490,75,gram,fathan_shop123,https://shopee.co.id/KUNIR-KUNYIT-75GRAM-i.36030342.7233249098
6,KUNYIT SUPER AB/1kg/kunyit segar termurah,8999,1,kg,mava_jaya,https://shopee.co.id/KUNYIT-SUPER-A-KUNIR-SUPER-A-harga-1KG-KUNYIT-SEGAR-TERMURAHHH-ukuran-super-semua-i.312648781.5092864018
6,murah jual kunyit segar per 1 kg,5600,1,kg,herlinandito05,https://shopee.co.id/murah-jual-kunyit-segar-per-1-kg-i.179523804.6200377254
6,KUNYIT KUNING SEGAR 1KG,6999,1,kg,fitriyahhandayani31,https://shopee.co.id/KUNYIT-KUNING-SEGAR-1KG-i.440058007.10506506927
6,KUNYIT SEGAR 500 GRAM,4000,500,gram,herbaldaunnusantara1,https://shopee.co.id/Kunyit-segar-i.280740856.6444072927
6,Kunyit 500 gr,5000,500,gram,alifahlexa,https://shopee.co.id/Kunyit-500-gr-i.33005949.3960169466
6,Kunyit / Rempah 250 gram,5000,250,gram,warungsayurjaya,https://shopee.co.id/Kunyit-250-gr-i.23006721.6817020230
6,KUNYIT SEGAR 500GR,4999,500,gram,sahabattaniprogresif,https://shopee.co.id/KUNYIT-SEGAR-500GR-i.233894816.7422800846
6,Kunyit kunir segar kunir kunyit fresh,14000,1,kg,arum_yuliana,https://shopee.co.id/Kunyit-kunir-segar-kunir-kunyit-fresh-i.17669989.6924295330?gclid=Cj0KCQjw06OTBhC_ARIsAAU1yOULFMoWcTIfvLResudOKFpAn0XhXX8f1EJ8zOYw5ztk3QKqewDIUZUaAg9bEALw_wcB
